iter	RMSE
0	0.8258582193
1	0.8197852008
2	0.8136361445
3	0.80770916
4	0.8019079423
5	0.7963630329
6	0.7906071046
7	0.784847583
8	0.7792348136
9	0.7735839337
10	0.7680013347
11	0.762563403
12	0.7572536624
13	0.7518610124
14	0.7465050075
15	15	0.7632747316	16	0.757852881717	0.75263185018	0.726019911
19	0.7210770585
20	0.716079781
21	0.7112417744
22	0.7064175256
23	0.7015838071
24	0.6970031202
25	0.6924830009
26	26	0.7076381227	27	0.7029074028	28	0.6983157629	0.6745321134
30	0.6700915443
31	0.6658410099
32	0.6614850589
33	0.6572874717
34	0.6531812771
3535	0.6673547443636	0.6632368323737	0.6589775413838	0.6550318663939	0.6509155074040	0.6467517714141	0.6427451542442	0.6388056143443	0.6347798444444	0.6308944744545	0.6268975464646	0.62307464747	0.6263423795
48	0.6225705084
49	0.6188381404
50	0.6152614467
51	0.6117039313
52	0.6081212641
53	0.6047464665
54	0.6012545266
55	0.5977923089
56	0.5943998316
57	0.5911772293
58	0.5877852445
559	0.5778802124660	0.5746918946661	0.5716052512
62	0.5684965987
63	0.5653956605
64	0.5625187734
65	0.5595368208
66	0.5565833859
67	0.5535560366
68	0.5506967902
69	0.5477607382
70	0.5448584011
71	0.5420805733
72	0.539314258
73	0.5366151523
74	0.533879856
7575	0.5458017027676	0.5431684777	0.5256392479
78	0.5231347471
79	0.5204866609
80	0.5179653047
81	0.5155480325
82	0.5130812674
83	0.5106538617
84	0.5081898961
85	0.5057940889
86	0.5034123199
87	0.5009586353
88	0.4985859783
89	0.4963610879
90	0.4939851992
91	0.4916260051
92	0.4893844331
93	0.4872796344
94	0.4850785074
95	0.4829985523
96	0.4807612913
97	0.4786464498
98	0.4765569608
99	0.4745418276
100	0.4725708902
101	0.4705902538
102	0.468722301
103	0.4668324388
104	0.464904622
105	0.4631201035
106	0.4613066572
107	0.4594662889
108	0.4576308048
109	0.4558467376
110	0.4540719516
111	0.452385866
112	0.4506571837
113	0.4489330704
114	0.4472843773
115	0.4456852202
116	0.4440815713
117	0.4424220221
118	0.4408819674
119	0.4393384056
120	0.4378009552
121	0.4363072261
122	0.4348038061
123	0.4333052094
124	0.4317665257
125	0.4304202648
126	0.4289737658
127	0.427642116
128	0.4262052776
129	0.4248516982
130	0.4234725304
131	0.4220652654
132	0.420662079
133	0.4193632017
134	0.4180893423
135	0.4168125291
136	0.4155208057
137	0.4143233867
138	0.413117657
139	0.4118244736
140	0.410604775
141	0.4094330755
142	0.4082106882
143	0.4070097153
144	0.4059590834
145	0.4048283121
146	0.4038049364
147	0.4027034766
148	0.401528199
149	0.4004340108
150	0.399355456
151	0.3982947608
152	0.3972424849
153	0.396233876
154	0.3952386114
155	0.3941957911
156	0.3931641384
157	0.3922132473
158	0.3912790835
159	0.3904162359
160	0.3894777043
161	0.388530702
162	0.3876334678
163	0.3867276611
164	0.3858615931
165	0.3849797667
166	0.3841259235
167	0.3832994415
168	0.3824194595
169	0.3816342515
170	0.3808647861
171	0.3800887951
172	0.379271914
173	0.3785528171
174	0.3778369628
175	0.3770155295
176	0.3762338138
177	0.3754403834
178	0.3747206147
179	0.3739971468
180	0.3732559818
181	0.3725710116
182	0.3718832876
183	0.3711878354
184	0.3704297366
185	0.3697480065
186	0.3690997468
187	0.3684569043
188	0.3678124519
189	0.3671446887
190	0.3665374505
191	0.3658793187
192	0.3651876172
193	0.3645752637
194	0.3639840254
195	0.3634313134
196	0.3628241864
197	0.3622120305
198	0.3616372644
199	0.3610214562
200	0.3604266061
201	0.3598539141
202	0.3593173299
203	0.3587417803
204	0.3582263992
205	0.3577118994
206	0.3571962074
207	0.3567082932
208	0.3562396351
209	0.3557302266
210	0.3552455524
211	0.3547488749
212	0.3542654573
213	0.3537583169
214	0.3532906765
215	0.3527892505
216	0.3523517839
217	0.3518836028
218	0.3513630992
219	0.3508855318
220	0.3504305201
221	0.3500187359
222	0.349562667
223	0.3491431028
224	0.3487174973
225	0.3482806911
226	0.347882372
227	0.3474799762
228	0.3470631573
229	0.3466107819
230	0.3461875854
231	0.345775378
232	0.3453459195
233	0.3449372258
234	0.3445346315
235	0.3441370765
236	0.3437862182
237	0.3434264762
238	0.3430728343
239	0.3427201701
240	0.342382702
241	0.3420540584
242	0.3417117276
243	0.3413715607
244	0.3410241848
245	0.3406467545
246	0.34031419
247	0.3399512798
248	0.3396424415
249	0.3392784378
250	0.3389589916
251	0.3386106504
252	0.3383026341
253	0.3379752046
254	0.3376385702
255	0.3372940299
256	0.3369791725
257	0.3366419438
258	0.3363349533
259	0.3360205884
260	0.3357070885
261	0.3353962363
262	0.3350702126
263	0.3347925986
264	0.3345317131
265	0.3342400397
266	0.3339559323
267	0.3336875894
268	0.333393857
269	0.3331212504
270	0.3328084735
271	0.3325424552
272	0.3322505279
273	0.3319883759
274	0.3317407687
275	0.3314893777
276	0.3312090148
277	0.3309235712
278	0.3306704507
279	0.3304246574
280	0.3301791762
281	0.3298898543
282	0.3296542878
283	0.3294066688
284	0.3291758346
285	0.328918927
286	0.3286785936
287	0.3284431443
288	0.3281466768
289	0.3279493046
290	0.3277438176
291	0.3275183225
292	0.3273136263
293	0.3271133733
294	0.3269205007
295	0.3266727725
296	0.3264383942
297	0.3262222886
298	0.3260224221
299	0.3257893938
300	0.3255877824
301	0.3253624446
302	0.3251551851
303	0.3248961124
304	0.324735453
305	0.3244799192
306	0.3242768619
307	0.3240494481
308	0.3238404473
309	0.3236589765
310	0.323436486
311	0.3232658554
312	0.3230674051
313	0.3228627979
314	0.3226695316
315	0.3224980315
316	0.3223347914
317	0.3221696118
318	0.3219825154
319	0.3218024866
320	0.3215914168
321	0.3214095227
322	0.3212291894
323	0.3210940953
324	0.3209117814
325	0.3207258994
326	0.3205302498
327	0.3203800101
328	0.3201935568
329	0.3200386136
330	0.3198661119
331	0.3197193481
332	0.3195743341
333	0.319374438
334	0.3192255574
335	0.3190189558
336	0.3187918921
337	0.3186407067
338	0.3184560888
339	0.3182970604
340	0.3181779034
341	0.3179854897
342	0.317779647
343	0.3176384627
344	0.3174773769
345	0.3173394369
346	0.3172020392
347	0.3170350494
348	0.3168727923
349	0.3166527451
350	0.316496442
351	0.3163149934
352	0.3161725067
353	0.3160581557
354	0.3159306714
355	0.3157604949
356	0.3156178464
357	0.3154630655
358	0.3153165358
359	0.3151354592
360	0.3149970547
361	0.3148660557
362	0.3147461117
363	0.3146318488
364	0.3144483374
365	0.3143192226
366	0.3141953581
367	0.314072613
368	0.3139339679
369	0.3137678421
370	0.3136193772
371	0.313476537
372	0.3133767212
373	0.313260783
374	0.3131469965
375	0.3130119939
376	0.3128690353
377	0.3127474446
378	0.3126246966
379	0.3125093629
380	0.312401555
381	0.3122957019
382	0.3121277515
383	0.3120022472
384	0.3119131656
385	0.3118227844
386	0.3116619119
387	0.311562732
388	0.3114441313
389	0.311339192
390	0.3112128144
391	0.3110953146
392	0.3109541796
393	0.3108635283
394	0.310708761
395	0.3105736517
396	0.3104390045
397	0.3103384565
398	0.3102128544
399	0.3101132317
400	0.3099962097
401	0.3099141571
402	0.309754554
403	0.3096535062
404	0.3095832481
405	0.3094947143
406	0.3093728351
407	0.3092911991
408	0.3091922194
409	0.3090941923
410	0.3090224938
411	0.3089037762
412	0.3087553524
413	0.3086606735
414	0.3085573008
415	0.3084568527
416	0.3083610721
417	0.3082693692
418	0.3081686499
419	0.3080526385
420	0.3079842454
421	0.3079038037
422	0.307800524
423	0.307728909
424	0.3076353073
425	0.3075393009
426	0.3074260639
427	0.3073480165
428	0.3072398705
429	0.3071417723
430	0.3070419781
431	0.3069692622
432	0.3068617491
433	0.3067768183
434	0.306692381
435	0.3066042405
436	0.3064839662
437	0.3064067061
438	0.3062760869
439	0.306180677
440	0.3060786401
441	0.30600633
442	0.3059385431
443	0.3058852416
444	0.3057981619
445	0.3057086419
446	0.3056004415
447	0.3055153803
448	0.3054296535
449	0.3053405596
450	0.30527104
451	0.3052151269
452	0.3050573713
453	0.3049664033
454	0.3048842575
455	0.304825976
456	0.3047318613
457	0.3046491164
458	0.3045267404
459	0.3044515137
460	0.3043787805
461	0.3042778523
462	0.3041547191
463	0.3040734702
464	0.3039925705
465	0.3038972594
466	0.3038224544
467	0.3037558393
468	0.3036802887
469	0.3035812662
470	0.3035076057
471	0.3034219424
472	0.3033381656
473	0.3032708511
474	0.3031863983
475	0.303093099
476	0.3030146041
477	0.3029332545
478	0.302845001
479	0.3027792532
480	0.302702593
481	0.3026055814
482	0.3025320154
483	0.3024691984
484	0.3023847462
485	0.3023186974
486	0.3022395762
487	0.3021377686
488	0.302083429
489	0.30200775
490	0.3019528038
491	0.3018952496
492	0.3018169557
493	0.3017576138
494	0.3016633012
495	0.3015981588
496	0.3015307645
497	0.3014657718
498	0.3014148652
499	0.3013240657
500	0.301277395
501	0.3012132486
502	0.3011538309
503	0.301103895
504	0.3010511692
505	0.3010004793
506	0.3009636782
507	0.3008872633
508	0.3008252711
509	0.3007628799
510	0.3007044094
511	0.3006145262
512	0.3005358033
513	0.300449025
514	0.300406201
515	0.3003401347
516	0.3002583106
517	0.3001885119
518	0.3001358372
519	0.3000734798
520	0.2999825937
521	0.299909433
522	0.2998425476
523	0.2998009681
524	0.2996991809
525	0.2996261684
526	0.2995257031
527	0.2994483814
528	0.2993575919
529	0.2992705038
530	0.2992006562
531	0.2991339547
532	0.299070413
533	0.2989955095
534	0.2989475248
535	0.2988445538
536	0.2987889312
537	0.2987422724
538	0.2986872696
539	0.2986095387
540	0.2985216607
541	0.2984288429
542	0.2983860392
543	0.2983444015
544	0.2983025385
545	0.2982577367
546	0.2982110403
547	0.2980978254
548	0.2980302637
549	0.2979474417
550	0.2978843255
551	0.297792238
552	0.2976828761
553	0.2976208461
554	0.2975229841
555	0.2974530768
556	0.2973915365
557	0.2972503739
558	0.2971443196
559	0.2970817894
560	0.2970326163
561	0.2969578483
562	0.2968997741
563	0.2968272011
564	0.2967565725
565	0.2966742582
566	0.2966145329
567	0.2965672018
568	0.2964529007
569	0.296377237
570	0.2963286857
571	0.2962664925
572	0.2962045539
573	0.2961233502
574	0.2960140985
575	0.2959798527
576	0.2959079027
577	0.2958363327
578	0.2957890769
579	0.2957328425
580	0.2956839501
581	0.2956340954
582	0.2955541976
583	0.2954911525
